
# Curve 0 of 1, 100 points
# Curve title: "log(x)"
# x y type
0.0000000e+00 0.0000000e+00  u
1.0101010e-01 -2.2925348e+00  i
2.0202020e-01 -1.5993876e+00  i
3.0303030e-01 -1.1939225e+00  i
4.0404040e-01 -9.0624040e-01  i
5.0505051e-01 -6.8309684e-01  i
6.0606061e-01 -5.0077529e-01  i
7.0707071e-01 -3.4662461e-01  i
8.0808081e-01 -2.1309322e-01  i
9.0909091e-01 -9.5310180e-02  i
1.0101010e+00 1.0050336e-02  i
1.1111111e+00 1.0536052e-01  i
1.2121212e+00 1.9237189e-01  i
1.3131313e+00 2.7241460e-01  i
1.4141414e+00 3.4652257e-01  i
1.5151515e+00 4.1551544e-01  i
1.6161616e+00 4.8005397e-01  i
1.7171717e+00 5.4067859e-01  i
1.8181818e+00 5.9783700e-01  i
1.9191919e+00 6.5190422e-01  i
2.0202020e+00 7.0319752e-01  i
2.1212121e+00 7.5198768e-01  i
2.2222222e+00 7.9850770e-01  i
2.3232323e+00 8.4295946e-01  i
2.4242424e+00 8.8551907e-01  i
2.5252525e+00 9.2634107e-01  i
2.6262626e+00 9.6556178e-01  i
2.7272727e+00 1.0033021e+00  i
2.8282828e+00 1.0396698e+00  i
2.9292929e+00 1.0747611e+00  i
3.0303030e+00 1.1086626e+00  i
3.1313131e+00 1.1414524e+00  i
3.2323232e+00 1.1732011e+00  i
3.3333333e+00 1.2039728e+00  i
3.4343434e+00 1.2338258e+00  i
3.5353535e+00 1.2628133e+00  i
3.6363636e+00 1.2909842e+00  i
3.7373737e+00 1.3183832e+00  i
3.8383838e+00 1.3450514e+00  i
3.9393939e+00 1.3710269e+00  i
4.0404040e+00 1.3963447e+00  i
4.1414141e+00 1.4210373e+00  i
4.2424242e+00 1.4451349e+00  i
4.3434343e+00 1.4686654e+00  i
4.4444444e+00 1.4916549e+00  i
4.5454545e+00 1.5141277e+00  i
4.6464646e+00 1.5361066e+00  i
4.7474747e+00 1.5576128e+00  i
4.8484848e+00 1.5786663e+00  i
4.9494949e+00 1.5992855e+00  i
5.0505051e+00 1.6194882e+00  i
5.1515152e+00 1.6392909e+00  i
5.2525253e+00 1.6587090e+00  i
5.3535354e+00 1.6777572e+00  i
5.4545455e+00 1.6964493e+00  i
5.5555556e+00 1.7147984e+00  i
5.6565657e+00 1.7328169e+00  i
5.7575758e+00 1.7505165e+00  i
5.8585859e+00 1.7679083e+00  i
5.9595960e+00 1.7850027e+00  i
6.0606061e+00 1.8018098e+00  i
6.1616162e+00 1.8183391e+00  i
6.2626263e+00 1.8345996e+00  i
6.3636364e+00 1.8506000e+00  i
6.4646465e+00 1.8663483e+00  i
6.5656566e+00 1.8818525e+00  i
6.6666667e+00 1.8971200e+00  i
6.7676768e+00 1.9121579e+00  i
6.8686869e+00 1.9269729e+00  i
6.9696970e+00 1.9415717e+00  i
7.0707071e+00 1.9559605e+00  i
7.1717172e+00 1.9701451e+00  i
7.2727273e+00 1.9841314e+00  i
7.3737374e+00 1.9979247e+00  i
7.4747475e+00 2.0115303e+00  i
7.5757576e+00 2.0249534e+00  i
7.6767677e+00 2.0381986e+00  i
7.7777778e+00 2.0512707e+00  i
7.8787879e+00 2.0641741e+00  i
7.9797980e+00 2.0769131e+00  i
8.0808081e+00 2.0894919e+00  i
8.1818182e+00 2.1019144e+00  i
8.2828283e+00 2.1141845e+00  i
8.3838384e+00 2.1263059e+00  i
8.4848485e+00 2.1382820e+00  i
8.5858586e+00 2.1501165e+00  i
8.6868687e+00 2.1618125e+00  i
8.7878788e+00 2.1733734e+00  i
8.8888889e+00 2.1848021e+00  i
8.9898990e+00 2.1961016e+00  i
9.0909091e+00 2.2072749e+00  i
9.1919192e+00 2.2183247e+00  i
9.2929293e+00 2.2292538e+00  i
9.3939394e+00 2.2400647e+00  i
9.4949495e+00 2.2507600e+00  i
9.5959596e+00 2.2613421e+00  i
9.6969697e+00 2.2718134e+00  i
9.7979798e+00 2.2821762e+00  i
9.8989899e+00 2.2924327e+00  i
1.0000000e+01 2.3025851e+00  i

